symboling,normalized_losses,make,fuel_type,aspiration,num_doors,body_style,drive_wheels,engine_location, wheel_base ,length,width,height,curb_weight,engine_type,num_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
0,0,peugot,gas,std,four,wagon,rwd,front, 114.20 ,198.90,68.40,58.70,3230,l,four,120,mpfi,3.46,3.19,8.40,97,5000,19,24,12440
0,0,peugot,diesel,turbo,four,wagon,rwd,front, 114.20 ,198.90,68.40,58.70,3430,l,four,152,idi,3.70,3.52,21.00,95,4150,25,25,13860
0,161,peugot,gas,std,four,sedan,rwd,front, 107.90 ,186.70,68.40,56.70,3075,l,four,120,mpfi,3.46,2.19,8.40,95,5000,19,24,15580
0,161,peugot,diesel,turbo,four,sedan,rwd,front, 107.90 ,186.70,68.40,56.70,3252,l,four,152,idi,3.70,3.52,21.00,95,4150,28,33,16900
0,0,peugot,gas,std,four,wagon,rwd,front, 114.20 ,198.90,68.40,56.70,3285,l,four,120,mpfi,3.46,2.19,8.40,95,5000,19,24,16695
0,0,peugot,diesel,turbo,four,wagon,rwd,front, 114.20 ,198.90,68.40,58.70,3485,l,four,152,idi,3.70,3.52,21.00,95,4150,25,25,17075
0,161,peugot,gas,std,four,sedan,rwd,front, 107.90 ,186.70,68.40,56.70,3075,l,four,120,mpfi,3.46,3.19,8.40,97,5000,19,24,16630
0,161,peugot,diesel,turbo,four,sedan,rwd,front, 107.90 ,186.70,68.40,56.70,3252,l,four,152,idi,3.70,3.52,21.00,95,4150,28,33,17950
0,161,peugot,gas,turbo,four,sedan,rwd,front, 108.00 ,186.70,68.30,56.00,3130,l,four,134,mpfi,3.61,3.21,7.00,142,5600,18,24,18150
1,119,plymouth,gas,std,two,hatchback,fwd,front, 93.70 ,157.30,63.80,50.80,1918,ohc,four,90,2bbl,2.97,3.23,9.40,68,5500,37,41,5572
1,119,plymouth,gas,turbo,two,hatchback,fwd,front, 93.70 ,157.30,63.80,50.80,2128,ohc,four,98,spdi,3.03,3.39,7.60,102,5500,24,30,7957
1,154,plymouth,gas,std,four,hatchback,fwd,front, 93.70 ,157.30,63.80,50.60,1967,ohc,four,90,2bbl,2.97,3.23,9.40,68,5500,31,38,6229
1,154,plymouth,gas,std,four,sedan,fwd,front, 93.70 ,167.30,63.80,50.80,1989,ohc,four,90,2bbl,2.97,3.23,9.40,68,5500,31,38,6692
1,154,plymouth,gas,std,four,sedan,fwd,front, 93.70 ,167.30,63.80,50.80,2191,ohc,four,98,2bbl,2.97,3.23,9.40,68,5500,31,38,7609
-1,74,plymouth,gas,std,four,wagon,fwd,front, 103.30 ,174.60,64.60,59.80,2535,ohc,four,122,2bbl,3.35,3.46,8.50,88,5000,24,30,8921
3,0,plymouth,gas,turbo,two,hatchback,rwd,front, 95.90 ,173.20,66.30,50.20,2818,ohc,four,156,spdi,3.59,3.86,7.00,145,5000,19,24,12764
3,186,porsche,gas,std,two,hatchback,rwd,front, 94.50 ,168.90,68.30,50.20,2778,ohc,four,151,mpfi,3.94,3.11,9.50,143,5500,19,27,22018
3,0,porsche,gas,std,two,hardtop,rwd,rear, 89.50 ,168.90,65.00,51.60,2756,ohcf,six,194,mpfi,3.74,2.90,9.50,207,5900,17,25,32528
3,0,porsche,gas,std,two,hardtop,rwd,rear, 89.50 ,168.90,65.00,51.60,2756,ohcf,six,194,mpfi,3.74,2.90,9.50,207,5900,17,25,34028
3,0,porsche,gas,std,two,convertible,rwd,rear, 89.50 ,168.90,65.00,51.60,2800,ohcf,six,194,mpfi,3.74,2.90,9.50,207,5900,17,25,37028
1,0,porsche,gas,std,two,hatchback,rwd,front, 98.40 ,175.70,72.30,50.50,3366,dohcv,eight,203,mpfi,3.94,3.11,10.00,288,5750,17,28,0
0,0,renault,gas,std,four,wagon,fwd,front, 96.10 ,181.50,66.50,55.20,2579,ohc,four,132,mpfi,3.46,3.90,8.70,0,0,23,31,9295
2,0,renault,gas,std,two,hatchback,fwd,front, 96.10 ,176.80,66.60,50.50,2460,ohc,four,132,mpfi,3.46,3.90,8.70,0,0,23,31,9895
3,150,saab,gas,std,two,hatchback,fwd,front, 99.10 ,186.60,66.50,56.10,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850
2,104,saab,gas,std,four,sedan,fwd,front, 99.10 ,186.60,66.50,56.10,2695,ohc,four,121,mpfi,3.54,3.07,9.30,110,5250,21,28,12170
3,150,saab,gas,std,two,hatchback,fwd,front, 99.10 ,186.60,66.50,56.10,2707,ohc,four,121,mpfi,2.54,2.07,9.30,110,5250,21,28,15040
2,104,saab,gas,std,four,sedan,fwd,front, 99.10 ,186.60,66.50,56.10,2758,ohc,four,121,mpfi,3.54,3.07,9.30,110,5250,21,28,15510
3,150,saab,gas,turbo,two,hatchback,fwd,front, 99.10 ,186.60,66.50,56.10,2808,dohc,four,121,mpfi,3.54,3.07,9.00,160,5500,19,26,18150
